timestamp;id;gender;age;group
8;1091;0;2;1
9;1091;0;2;1
10;1090;0;2;1
11;1090;0;2;1
12;506;1;3;0
12;1089;0;2;1
13;506;1;3;0
13;1127;0;2;1
14;505;1;3;0
14;1087;0;2;1
15;504;1;3;0
15;1086;0;2;1
16;465;1;3;0
16;1085;0;2;1
17;464;1;3;0
17;1124;0;2;1
18;424;1;3;0
18;1124;0;2;1
19;423;1;3;0
19;1163;0;2;1
20;383;1;3;0
20;1163;0;2;1
21;382;1;3;0
21;1201;0;2;1
22;382;1;3;0
22;1240;0;2;1
23;342;1;3;0
23;1278;0;2;1
24;341;1;3;0
24;1278;0;2;1
25;341;1;3;0
25;1316;0;2;1
26;301;1;3;0
26;1315;0;2;1
27;300;1;3;0
27;1315;0;2;1
28;300;1;3;0
28;1314;0;2;1
29;260;1;3;0
29;1314;0;2;1
30;259;1;3;0
30;1313;0;2;1
31;219;1;3;0
31;935;1;0;3
31;1312;0;2;1
32;219;1;3;0
32;895;1;0;3
32;1312;0;2;1
33;218;1;3;0
33;894;1;0;3
33;1274;0;2;1
34;218;1;3;0
34;894;1;0;3
34;1275;0;2;1
35;178;1;3;0
35;854;1;0;3
35;1276;0;2;1
36;177;1;3;0
36;853;1;0;3
36;1277;0;2;1
37;137;1;3;0
37;853;1;0;3
37;1278;0;2;1
38;137;1;3;0
38;852;1;0;3
38;1239;0;2;1
39;136;1;3;0
39;852;1;0;3
39;1240;0;2;1
40;135;1;3;0
40;812;1;0;3
40;1202;0;2;1
41;134;1;3;0
41;811;1;0;3
41;1163;0;2;1
42;134;1;3;0
42;810;1;0;3
42;1163;0;2;1
43;172;1;3;0
43;810;1;0;3
43;1125;0;2;1
44;171;1;3;0
44;770;1;0;3
44;1086;0;2;1
45;210;1;3;0
45;769;1;0;3
45;1047;0;2;1
46;248;1;3;0
46;768;1;0;3
46;1008;0;2;1
47;247;1;3;0
47;766;1;0;3
47;1008;0;2;1
48;208;1;3;0
48;763;1;0;3
48;969;0;2;1
49;208;1;3;0
49;762;1;0;3
49;929;0;2;1
50;169;1;3;0
50;762;1;0;3
50;890;0;2;1
51;209;1;3;0
51;761;1;0;3
51;889;0;2;1
52;210;1;3;0
52;721;1;0;3
52;850;0;2;1
53;249;1;3;0
53;720;1;0;3
53;849;0;2;1
54;248;1;3;0
54;719;1;0;3
54;809;0;2;1
55;248;1;3;0
55;680;1;0;3
55;808;0;2;1
56;286;1;3;0
56;679;1;0;3
56;808;0;2;1
57;285;1;3;0
57;640;1;0;3
57;810;0;2;1
58;324;1;3;0
58;639;1;0;3
58;849;0;2;1
59;363;1;3;0
59;601;1;0;3
59;850;0;2;1
60;402;1;3;0
60;562;1;0;3
60;850;0;2;1
61;402;1;3;0
61;562;1;0;3
61;851;0;2;1
62;441;1;3;0
62;524;1;0;3
62;891;0;2;1
63;441;1;3;0
63;525;1;0;3
63;892;0;2;1
64;480;1;3;0
64;525;1;0;3
64;893;0;2;1
65;519;1;3;0
65;487;1;0;3
65;894;0;2;1
66;519;1;3;0
66;488;1;0;3
66;895;0;2;1
67;559;1;3;0
67;489;1;0;3
67;934;0;2;1
68;559;1;3;0
68;489;1;0;3
68;935;0;2;1
69;598;1;3;0
69;490;1;0;3
70;636;1;3;0
70;490;1;0;3
71;675;1;3;0
71;491;1;0;3
72;714;1;3;0
72;530;1;0;3
73;753;1;3;0
73;531;1;0;3
74;753;1;3;0
74;532;1;0;3
75;831;1;3;0
75;572;1;0;3
76;870;1;3;0
76;572;1;0;3
77;870;1;3;0
77;611;1;0;3
78;832;1;3;0
78;650;1;0;3
79;793;1;3;0
79;689;1;0;3
80;793;1;3;0
80;688;1;0;3
81;755;1;3;0
81;726;1;0;3
82;755;1;3;0
82;726;1;0;3
83;756;1;3;0
83;726;1;0;3
84;757;1;3;0
84;764;1;0;3
85;757;1;3;0
85;765;1;0;3
86;758;1;3;0
86;765;1;0;3
87;720;1;3;0
87;727;1;0;3
88;721;1;3;0
88;727;1;0;3
89;722;1;3;0
89;689;1;0;3
90;723;1;3;0
90;650;1;0;3
91;724;1;3;0
91;651;1;0;3
92;725;1;3;0
92;612;1;0;3
93;726;1;3;0
93;612;1;0;3
94;727;1;3;0
94;574;1;0;3
95;728;1;3;0
95;535;1;0;3
96;729;1;3;0
96;536;1;0;3
97;730;1;3;0
97;497;1;0;3
98;731;1;3;0
98;497;1;0;3
99;771;1;3;0
99;458;1;0;3
100;772;1;3;0
100;459;1;0;3
101;772;1;3;0
101;420;1;0;3
102;773;1;3;0
102;381;1;0;3
103;775;1;3;0
103;342;1;0;3
104;775;1;3;0
104;342;1;0;3
105;776;1;3;0
105;303;1;0;3
106;776;1;3;0
106;302;1;0;3
107;777;1;3;0
107;263;1;0;3
108;778;1;3;0
108;262;1;0;3
109;779;1;3;0
109;262;1;0;3
110;222;1;0;3
111;221;1;0;3
112;220;1;0;3
113;219;1;0;3
114;218;1;0;3
115;218;1;0;3
116;818;1;2;3
116;217;1;0;3
117;737;1;2;3
117;216;1;0;3
118;697;1;2;3
118;216;1;0;3
119;696;1;2;3
119;215;1;0;3
120;657;1;2;3
120;214;1;0;3
121;656;1;2;3
121;213;1;0;3
122;616;1;2;3
122;212;1;0;3
123;616;1;2;3
123;211;1;0;3
124;615;1;2;3
124;210;1;0;3
125;576;1;2;3
125;209;1;0;3
126;575;1;2;3
126;209;1;0;3
127;535;1;2;3
127;247;1;0;3
128;534;1;2;3
128;286;1;0;3
129;494;1;2;3
129;286;1;0;3
130;494;1;2;3
130;325;1;0;3
131;493;1;2;3
131;325;1;0;3
132;453;1;2;3
132;364;1;0;3
133;453;1;2;3
133;403;1;0;3
134;452;1;2;3
134;403;1;0;3
135;452;1;2;3
135;442;1;0;3
136;412;1;2;3
136;481;1;0;3
137;411;1;2;3
137;481;1;0;3
138;411;1;2;3
138;520;1;0;3
139;449;1;2;3
139;559;1;0;3
140;448;1;2;3
140;598;1;0;3
141;447;1;2;3
141;637;1;0;3
142;447;1;2;3
142;676;1;0;3
143;446;1;2;3
143;676;1;0;3
144;445;1;2;3
144;715;1;0;3
145;444;1;2;3
145;754;1;0;3
146;443;1;2;3
146;754;1;0;3
147;443;1;2;3
147;792;1;0;3
148;442;1;2;3
148;831;1;0;3
149;441;1;2;3
149;870;1;0;3
150;440;1;2;3
150;870;1;0;3
151;439;1;2;3
151;754;1;0;3
152;438;1;2;3
152;754;1;0;3
153;398;1;2;3
153;716;1;0;3
154;397;1;2;3
154;717;1;0;3
155;397;1;2;3
155;717;1;0;3
156;357;1;2;3
156;718;1;0;3
157;357;1;2;3
157;718;1;0;3
158;317;1;2;3
158;719;1;0;3
159;278;1;2;3
159;719;1;0;3
160;238;1;2;3
160;720;1;0;3
161;199;1;2;3
161;722;1;0;3
162;199;1;2;3
162;722;1;0;3
163;161;1;2;3
163;723;1;0;3
164;161;1;2;3
164;723;1;0;3
165;162;1;2;3
165;725;1;0;3
166;163;1;2;3
166;767;1;0;3
167;164;1;2;3
167;769;1;0;3
168;164;1;2;3
168;770;1;0;3
169;204;1;2;3
169;770;1;0;3
170;205;1;2;3
170;771;1;0;3
171;206;1;2;3
171;772;1;0;3
172;246;1;2;3
172;773;1;0;3
173;208;1;2;3
173;774;1;0;3
174;208;1;2;3
174;774;1;0;3
175;209;1;2;3
175;775;1;0;3
176;210;1;2;3
176;776;1;0;3
177;1949;1;2;1
177;171;1;2;3
177;817;1;0;3
178;1949;1;2;1
178;172;1;2;3
178;817;1;0;3
179;1948;1;2;1
179;172;1;2;3
179;818;1;0;3
180;1947;1;2;1
180;134;1;2;3
180;818;1;0;3
181;1947;1;2;1
181;135;1;2;3
182;1946;1;2;1
182;135;1;2;3
183;1945;1;2;1
183;175;1;2;3
184;1944;1;2;1
184;214;1;2;3
185;1943;1;2;1
185;254;1;2;3
186;1942;1;2;1
186;254;1;2;3
187;1941;1;2;1
187;293;1;2;3
188;1941;1;2;1
188;332;1;2;3
189;1940;1;2;1
189;371;1;2;3
190;1939;1;2;1
190;410;1;2;3
191;1938;1;2;1
191;449;1;2;3
192;1937;1;2;1
192;448;1;2;3
193;1936;1;2;1
193;487;1;2;3
194;1935;1;2;1
194;486;1;2;3
195;1934;1;2;1
195;485;1;2;3
196;1933;1;2;1
196;524;1;2;3
197;1932;1;2;1
197;523;1;2;3
198;1892;1;2;1
198;561;1;2;3
199;1891;1;2;1
199;560;1;2;3
200;1891;1;2;1
200;599;1;2;3
201;1890;1;2;1
201;598;1;2;3
202;1889;1;2;1
202;636;1;2;3
203;1889;1;2;1
203;675;1;2;3
204;1888;1;2;1
204;674;1;2;3
205;1887;1;2;1
205;712;1;2;3
206;1887;1;2;1
206;712;1;2;3
207;1886;1;2;1
207;711;1;2;3
208;1885;1;2;1
208;750;1;2;3
209;1884;1;2;1
209;789;1;2;3
210;1884;1;2;1
210;828;1;2;3
211;1883;1;2;1
211;867;1;2;3
212;1921;1;2;1
212;867;1;2;3
213;1920;1;2;1
213;906;1;2;3
214;1919;1;2;1
214;828;1;2;3
215;1918;1;2;1
215;790;1;2;3
216;1918;1;2;1
216;790;1;2;3
217;1917;1;2;1
217;790;1;2;3
218;1877;1;2;1
218;752;1;2;3
219;1877;1;2;1
219;753;1;2;3
220;1837;1;2;1
220;753;1;2;3
221;1798;1;2;1
221;754;1;2;3
222;1798;1;2;1
222;755;1;2;3
223;1759;1;2;1
223;756;1;2;3
224;1720;1;2;1
224;756;1;2;3
225;1680;1;2;1
225;757;1;2;3
226;1641;1;2;1
226;758;1;2;3
227;1641;1;2;1
227;759;1;2;3
228;1602;1;2;1
228;760;1;2;3
229;1563;1;2;1
229;761;1;2;3
230;1524;1;2;1
230;762;1;2;3
231;1485;1;2;1
231;763;1;2;3
232;1446;1;2;1
232;764;1;2;3
233;1446;1;2;1
233;765;1;2;3
234;1407;1;2;1
234;765;1;2;3
235;1368;1;2;1
235;766;1;2;3
236;1290;1;2;1
236;767;1;2;3
237;1251;1;2;1
237;768;1;2;3
238;1212;1;2;1
238;768;1;2;3
239;1173;1;2;1
239;769;1;2;3
240;1134;1;2;1
240;770;1;2;3
240;1910;1;1;2
241;1095;1;2;1
241;771;1;2;3
241;1909;1;1;2
242;1056;1;2;1
242;772;1;2;3
242;1908;1;1;2
243;1017;1;2;1
243;774;1;2;3
243;1907;1;1;2
244;1017;1;2;1
244;775;1;2;3
244;1906;1;1;2
245;978;1;2;1
245;775;1;2;3
245;1906;1;1;2
246;939;1;2;1
246;776;1;2;3
246;1905;1;1;2
247;900;1;2;1
247;777;1;2;3
247;1904;1;1;2
248;900;1;2;1
248;778;1;2;3
248;1903;1;1;2
249;861;1;2;1
249;779;1;2;3
249;1902;1;1;2
250;822;1;2;1
250;1902;1;1;2
251;744;1;2;1
251;1901;1;1;2
252;705;1;2;1
252;1901;1;1;2
253;666;1;2;1
253;1900;1;1;2
254;627;1;2;1
254;1899;1;1;2
255;588;1;2;1
255;1898;1;1;2
256;549;1;2;1
256;1897;1;1;2
257;510;1;2;1
257;1896;1;1;2
258;471;1;2;1
258;1856;1;1;2
259;432;1;2;1
259;1855;1;1;2
260;393;1;2;1
260;1816;1;1;2
261;393;1;2;1
261;1816;1;1;2
262;354;1;2;1
262;1776;1;1;2
263;315;1;2;1
263;1737;1;1;2
264;315;1;2;1
264;1697;1;1;2
265;276;1;2;1
265;1658;1;1;2
266;276;1;2;1
266;1658;1;1;2
267;238;1;2;1
267;1618;1;1;2
268;199;1;2;1
268;1579;1;1;2
269;199;1;2;1
269;1578;1;1;2
270;161;1;2;1
270;1538;1;1;2
271;161;1;2;1
271;1537;1;1;2
272;162;1;2;1
272;1497;1;1;2
273;124;1;2;1
273;1496;1;1;2
274;125;1;2;1
274;1457;1;1;2
275;126;1;2;1
275;1457;1;1;2
276;127;1;2;1
276;1418;1;1;2
277;128;1;2;1
277;1379;1;1;2
278;129;1;2;1
278;1340;1;1;2
279;130;1;2;1
279;1341;1;1;2
280;131;1;2;1
280;1342;1;1;2
281;132;1;2;1
281;1303;1;1;2
282;133;1;2;1
282;1304;1;1;2
283;134;1;2;1
283;1304;1;1;2
284;134;1;2;1
284;1305;1;1;2
285;135;1;2;1
285;1306;1;1;2
286;136;1;2;1
286;1307;1;1;2
287;137;1;2;1
287;1348;1;1;2
288;137;1;2;1
288;1349;1;1;2
289;139;1;2;1
289;1309;1;1;2
290;140;1;2;1
290;1308;1;1;2
291;141;1;2;1
291;1302;1;1;2
292;142;1;2;1
292;1301;1;1;2
293;143;1;2;1
293;1339;1;1;2
294;144;1;2;1
294;1338;1;1;2
295;145;1;2;1
295;1338;1;1;2
296;146;1;2;1
296;1337;1;1;2
297;147;1;2;1
297;1336;1;1;2
298;148;1;2;1
298;1335;1;1;2
299;148;1;2;1
299;1334;1;1;2
300;149;1;2;1
300;1333;1;1;2
301;150;1;2;1
301;1333;1;1;2
302;151;1;2;1
302;1331;1;1;2
303;191;1;2;1
303;1331;1;1;2
304;190;1;2;1
304;1330;1;1;2
305;189;1;2;1
305;1369;1;1;2
306;188;1;2;1
306;1368;1;1;2
307;186;1;2;1
307;1368;1;1;2
308;186;1;2;1
308;1446;1;1;2
309;185;1;2;1
309;1445;1;1;2
310;184;1;2;1
310;1484;1;1;2
311;223;1;2;1
311;1523;1;1;2
312;262;1;2;1
312;1562;1;1;2
313;301;1;2;1
313;1562;1;1;2
314;341;1;2;1
314;1601;1;1;2
315;341;1;2;1
315;1640;1;1;2
316;381;1;2;1
316;1679;1;1;2
317;420;1;2;1
317;1718;1;1;2
318;459;1;2;1
318;1719;1;1;2
319;458;1;2;1
319;1758;1;1;2
320;457;1;2;1
320;1797;1;1;2
321;456;1;2;1
321;1836;1;1;2
322;494;1;2;1
322;1875;1;1;2
323;493;1;2;1
323;1876;1;1;2
324;492;1;2;1
324;1916;1;1;2
325;491;1;2;1
325;1917;1;1;2
326;490;1;2;1
326;1918;1;1;2
327;489;1;2;1
327;1919;1;1;2
328;488;1;2;1
328;1169;0;2;2
328;1919;1;1;2
329;487;1;2;1
329;1168;0;2;2
329;1920;1;1;2
330;487;1;2;1
330;1167;0;2;2
330;1921;1;1;2
331;486;1;2;1
331;1166;0;2;2
331;1921;1;1;2
332;484;1;2;1
332;1165;0;2;2
332;1922;1;1;2
333;484;1;2;1
333;1164;0;2;2
333;1923;1;1;2
334;482;1;2;1
334;1124;0;2;2
334;1924;1;1;2
335;482;1;2;1
335;1163;0;2;2
335;1924;1;1;2
336;481;1;2;1
336;1201;0;2;2
336;1925;1;1;2
337;480;1;2;1
337;1240;0;2;2
337;1887;1;1;2
338;440;1;2;1
338;1279;0;2;2
338;1888;1;1;2
339;439;1;2;1
339;1318;0;2;2
339;1888;1;1;2
340;438;1;2;1
340;1356;0;2;2
340;1850;1;1;2
341;437;1;2;1
341;1395;0;2;2
341;1850;1;1;2
342;437;1;2;1
342;1395;0;2;2
342;1851;1;1;2
343;436;1;2;1
343;1433;0;2;2
343;1813;1;1;2
344;435;1;2;1
344;1472;0;2;2
344;1775;1;1;2
345;474;1;2;1
345;1472;0;2;2
345;1698;1;1;2
346;474;1;2;1
346;1510;0;2;2
346;1699;1;1;2
347;512;1;2;1
347;1548;0;2;2
347;1699;1;1;2
348;512;1;2;1
348;1548;0;2;2
348;1661;1;1;2
349;551;1;2;1
349;1547;0;2;2
349;1623;1;1;2
350;589;1;2;1
350;1546;0;2;2
350;1623;1;1;2
351;589;1;2;1
351;1545;0;2;2
351;1585;1;1;2
352;628;1;2;1
352;1544;0;2;2
352;1585;1;1;2
353;667;1;2;1
353;1543;0;2;2
353;1547;1;1;2
354;705;1;2;1
354;1542;0;2;2
354;1547;1;1;2
355;744;1;2;1
355;1541;0;2;2
355;1509;1;1;2
356;783;1;2;1
356;1579;0;2;2
356;1509;1;1;2
357;784;1;2;1
357;1578;0;2;2
357;1471;1;1;2
358;784;1;2;1
358;1578;0;2;2
358;1472;1;1;2
359;786;1;2;1
359;1576;0;2;2
359;1433;1;1;2
360;787;1;2;1
360;1576;0;2;2
360;1396;1;1;2
361;748;1;2;1
361;1575;0;2;2
361;1358;1;1;2
362;749;1;2;1
362;1613;0;2;2
362;1358;1;1;2
363;750;1;2;1
363;1612;0;2;2
363;1320;1;1;2
364;751;1;2;1
364;1611;0;2;2
364;1320;1;1;2
365;752;1;2;1
365;1571;0;2;2
365;1282;1;1;2
366;753;1;2;1
366;1571;0;2;2
366;1283;1;1;2
367;753;1;2;1
367;1531;0;2;2
367;1245;1;1;2
368;754;1;2;1
368;1493;0;2;2
368;1207;1;1;2
369;794;1;2;1
369;1494;0;2;2
369;1208;1;1;2
370;795;1;2;1
370;1455;0;2;2
371;796;1;2;1
371;1456;0;2;2
372;797;1;2;1
372;1417;0;2;2
373;798;1;2;1
373;1417;0;2;2
374;799;1;2;1
374;1378;0;2;2
375;800;1;2;1
375;1339;0;2;2
376;800;1;2;1
376;1300;0;2;2
